,,,A,B,C,D,,,,,
#,Section Number,"Weight
Per/Foot","Depth of
Section","Flange
Width","Flange
Thickness","Web
Thickness",Length,Total Pounds,Current Cost per Foot,Total Price,NOTES:
,,lb.,in.,in.,in.,in.,ft.,lb.,$,$,
83,W14,90,14.02,14.520,0.710,0.440,,0,$1.90,$0.00,
84,,99,14.16,14.565,0.780,0.485,,0,$1.90,$0.00,
85,,109,14.32,14.605,0.860,0.525,,0,$1.90,$0.00,
86,,120,14.48,14.670,0.940,0.590,,0,$1.90,$0.00,
87,,132,14.66,14.725,1.030,0.645,,0,$1.90,$0.00,
88,W14,145,14.78,15.500,1.090,0.680,,0,$1.90,$0.00,
89,,159,14.98,15.565,1.190,0.745,,0,$1.90,$0.00,
90,,176,15.22,15.650,1.310,0.830,,0,$1.90,$0.00,
91,,193,15.48,15.710,1.440,0.890,,0,$1.90,$0.00,
92,,211,15.72,15.800,1.560,0.980,,0,$1.90,$0.00,
93,,233,16.04,15.890,1.720,1.070,,0,$1.90,$0.00,
94,,257,16.38,15.995,1.890,1.175,,0,$1.90,$0.00,
95,,283,16.74,16.110,2.070,1.290,,0,$1.90,$0.00,
96,,311,17.12,16.230,2.260,1.410,,0,$1.90,$0.00,
97,,342,17.54,16.360,2.470,1.540,,0,$1.90,$0.00,
98,,370,17.92,16.475,2.660,1.655,,0,$1.90,$0.00,
99,,398,18.29,16.590,2.845,1.770,,0,$1.90,$0.00,
100,,426,18.67,16.695,3.035,1.875,,0,$1.90,$0.00,
101,,455,19.02,16.835,3.210,2.015,,0,$1.90,$0.00,
102,,500,19.60,17.010,3.500,2.190,,0,$1.90,$0.00,
103,,550,20.24,17.200,3.820,2.380,,0,$1.90,$0.00,
104,,605,20.92,17.415,4.160,2.595,,0,$1.90,$0.00,
105,,665,21.64,17.650,4.520,2.830,,0,$1.90,$0.00,
106,,730,22.42,17.890,4.910,3.070,,0,$1.90,$0.00,
107,W16,26,15.69,5.500,0.345,0.250,,0,$0.92,$0.00,
108,,31,15.88,5.525,0.440,0.275,,0,$0.92,$0.00,
109,,36,15.86,6.985,0.430,0.295,,0,$0.92,$0.00,
110,,40,16.01,6.995,0.505,0.305,,0,$0.92,$0.00,
111,,45,16.13,7.035,0.565,0.345,,0,$0.92,$0.00,
112,,50,16.26,7.070,0.630,0.380,,0,$0.92,$0.00,
113,,57,16.43,7.120,0.715,0.430,,0,$0.92,$0.00,
,,,,,,,,0,$0.92,$0.00,
114,W16,67,16.33,10.235,0.665,0.395,,0,$0.92,$0.00,
115,,77,16.52,10.295,0.760,0.455,,0,$0.92,$0.00,
116,,89,16.75,10.365,0.875,0.525,,0,$0.92,$0.00,
117,,100,16.97,10.425,0.985,0.585,,0,$1.90,$0.00,
118,W18,35,17.70,6.000,0.425,0.300,,0,$0.92,$0.00,
119,,40,17.90,6.015,0.525,0.315,,0,$0.92,$0.00,
120,,46,18.06,6.060,0.605,0.360,,0,$0.92,$0.00,
121,W18,41,17.70,7.450,0.530,0.320,,0,$0.92,$0.00,
122,,45,17.86,7.480,0.500,0.340,,0,$0.92,$0.00,
