#,Item #,Angle Type,Size A,Size B,Size C,Available Length(s),,,Estimated Lbs. Per Ft.,For 20ft Length,For 40ft Length,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:
,Item #,Type,Size A,Size B,Size C,Available Lengths,As Fraction,As Decimal,Estimated Pounds Per Foot,For 20ft Length,For 40ft Length,ft.,lb.,$,$,
39,LS32316,Structural Size Standard,3 in,2 in,3/16 in,20 to 40 ft,3/16,0.1875,3.07,61.4,122.8,,0.00,,$0.00,
40,LS3214,Structural Size Standard,3 in,2 in,1/4 in,20 to 40 ft,1/4,0.2500,4.1,82,164,,0.00,$0.95,$0.00,
41,LS32516,Structural Size Standard,3 in,2 in,5/16 in,20 to 40 ft,5/16,0.3125,5,100,200,,0.00,$0.95,$0.00,
42,LS3238,Structural Size Standard,3 in,2 in,3/8 in,20 to 40 ft,3/8,0.3750,5.9,118,236,,0.00,$1.00,$0.00,
43,LS3212,Structural Size Standard,3 in,2 in,1/2 in,20 to 40 ft,1/2,0.5000,7.7,154,308,,0.00,$1.25,$0.00,
44,LS3212316,Structural Size Standard,3 in,2 1/2 in,3/16 in,20 to 40 ft,3/16,0.1875,3.39,67.8,135.6,,0.00,,$0.00,
45,LS321214,Structural Size Standard,3 in,2 1/2 in,1/4 in,20 to 40 ft,1/4,0.2500,4.5,90,180,,0.00,$0.95,$0.00,
46,LS3212516,Structural Size Standard,3 in,2 1/2 in,5/16 in,20 to 40 ft,5/16,0.3125,5.6,112,224,,0.00,$0.95,$0.00,
47,LS321238,Structural Size Standard,3 in,2 1/2 in,3/8 in,20 to 40 ft,3/8,0.3750,6.6,132,264,,0.00,$1.00,$0.00,
48,LS321212,Structural Size Standard,3 in,2 1/2 in,1/2 in,20 to 40 ft,1/2,0.5000,8.5,170,340,,0.00,$1.25,$0.00,
49,LS3316,Structural Size Standard,3 in,3 in,3/16 in,20 to 40 ft,3/16,0.1875,3.71,74.2,148.4,,0.00,,$0.00,
50,LS314,Structural Size Standard,3 in,3 in,1/4 in,20 to 40 ft,1/4,0.2500,4.9,98,196,,0.00,$0.95,$0.00,
51,LS3516,Structural Size Standard,3 in,3 in,5/16 in,20 to 40 ft,5/16,0.3125,6.1,122,244,,0.00,$0.95,$0.00,
52,LS338,Structural Size Standard,3 in,3 in,3/8 in,20 to 40 ft,3/8,0.3750,7.2,144,288,,0.00,$1.00,$0.00,
53,LS312,Structural Size Standard,3 in,3 in,1/2 in,20 to 40 ft,1/2,0.5000,9.4,188,376,,0.00,$1.25,$0.00,
54,LS31221214,Structural Size Standard,3 1/2 in,2 1/2 in,1/4 in,20 to 40 ft,1/4,0.2500,4.9,98,196,,0.00,$0.95,$0.00,
55,LS312212516,Structural Size Standard,3 1/2 in,2 1/2 in,5/16 in,20 to 40 ft,5/16,0.3125,6.1,122,244,,0.00,$0.95,$0.00,
56,LS31221238,Structural Size Standard,3 1/2 in,2 1/2 in,3/8 in,20 to 40 ft,3/8,0.3750,7.2,144,288,,0.00,$1.00,$0.00,
57,LS31221212,Structural Size Standard,3 1/2 in,2 1/2 in,1/2 in,20 to 40 ft,1/2,0.5000,9.4,188,376,,0.00,$1.25,$0.00,
