#,Item #,Type,Materials,Width,Height,Average Wall Thickness,,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,,,,
,Item #,Type,Materials,Width,Height,Gauge,Decimal,Weight Per Foot,ft.,lb.,$,$,,,,,
231,TR6646,Rectangle Tube,Carbon Steel,6 in,2 in,1/8 in,0.125,6.46,,0.000,$0.95,$0.00,,,,,
232,TR6942,Rectangle Tube,Carbon Steel,6 in,2 in,3/16 in,0.188,9.42,,0.000,$0.95,$0.00,,,,,
233,TR61221,Rectangle Tube,Carbon Steel,6 in,2 in,1/4 in,0.250,12.21,,0.000,$0.95,$0.00,,,,,
234,TR61483,Rectangle Tube,Carbon Steel,6 in,2 in,5/16 in,0.313,14.83,,0.000,$0.95,$0.00,,,,,
235,TR61727,Rectangle Tube,Carbon Steel,6 in,2 in,3/8 in,0.375,17.27,,0.000,$0.95,$0.00,,,,,
236,TR62163,Rectangle Tube,Carbon Steel,6 in,2 in,1/2 in,0.500,21.63,,0.000,$0.95,$0.00,,,,,
237,TR62526,Rectangle Tube,Carbon Steel,6 in,2 in,5/8 in,0.625,25.26,,0.000,$0.95,$0.00,,,,,
238,TR6731,Rectangle Tube,Carbon Steel,6 in,3 in,1/8 in,0.125,7.31,,0.000,$0.95,$0.00,,,,,
239,TR61070,Rectangle Tube,Carbon Steel,6 in,3 in,3/16 in,0.188,10.70,,0.000,$0.95,$0.00,,,,,
240,TR61391,Rectangle Tube,Carbon Steel,6 in,3 in,1/4 in,0.250,13.91,,0.000,$0.95,$0.00,,,,,
241,TR61696,Rectangle Tube,Carbon Steel,6 in,3 in,5/16 in,0.313,16.96,,0.000,$0.95,$0.00,,,,,
242,TR61982,Rectangle Tube,Carbon Steel,6 in,3 in,3/8 in,0.375,19.82,,0.000,$0.95,$0.00,,,,,
243,TR62503,Rectangle Tube,Carbon Steel,6 in,3 in,1/2 in,0.500,25.03,,0.000,$0.95,$0.00,,,,,
244,TR6816,Rectangle Tube,Carbon Steel,6 in,4 in,1/8 in,0.125,8.16,,0.000,$0.95,$0.00,,,,,
245,TR61197,Rectangle Tube,Carbon Steel,6 in,4 in,3/16 in,0.188,11.97,,0.000,$0.95,$0.00,,,,,
246,TR61562,Rectangle Tube,Carbon Steel,6 in,4 in,1/4 in,0.250,15.62,,0.000,$0.95,$0.00,,,,,
247,TR61908,Rectangle Tube,Carbon Steel,6 in,4 in,5/16 in,0.313,19.08,,0.000,$0.95,$0.00,,,,,
248,TR62237,Rectangle Tube,Carbon Steel,6 in,4 in,3/8 in,0.375,22.37,,0.000,$0.95,$0.00,,,,,
249,TR62843,Rectangle Tube,Carbon Steel,6 in,4 in,1/2 in,0.500,28.43,,0.000,$0.95,$0.00,,,,,
250,TR61330,Rectangle Tube,Carbon Steel,6 in,5 in,3/16 in,0.188,13.30,,0.000,$0.95,$0.00,,,,,
251,TR61732,Rectangle Tube,Carbon Steel,6 in,5 in,1/4 in,0.250,17.32,,0.000,$0.95,$0.00,,,,,
252,TR62122,Rectangle Tube,Carbon Steel,6 in,5 in,5/16 in,0.313,21.22,,0.000,$0.95,$0.00,,,,,
253,TR62493,Rectangle Tube,Carbon Steel,6 in,5 in,3/8 in,0.375,24.93,,0.000,$0.95,$0.00,,,,,
254,TR63184,Rectangle Tube,Carbon Steel,6 in,5 in,1/2 in,0.500,31.84,,0.000,$0.95,$0.00,,,,,
255,TR71197,Rectangle Tube,Carbon Steel,7 in,3 in,3/16 in,0.188,11.97,,0.000,$0.95,$0.00,,,,,
256,TR71562,Rectangle Tube,Carbon Steel,7 in,3 in,1/4 in,0.250,15.62,,0.000,$0.95,$0.00,,,,,
257,TR71908,Rectangle Tube,Carbon Steel,7 in,3 in,5/16 in,0.313,19.08,,0.000,$0.95,$0.00,,,,,
258,TR72237,Rectangle Tube,Carbon Steel,7 in,3 in,3/8 in,0.375,22.37,,0.000,$0.95,$0.00,,,,,
259,TR72843,Rectangle Tube,Carbon Steel,7 in,3 in,1/2 in,0.500,28.43,,0.000,$0.95,$0.00,,,,,
260,TR71330,Rectangle Tube,Carbon Steel,7 in,4 in,3/16 in,0.188,13.30,,0.000,$0.95,$0.00,,,,,
261,TR71732,Rectangle Tube,Carbon Steel,7 in,4 in,1/4 in,0.250,17.32,,0.000,$0.95,$0.00,,,,,
262,TR72122,Rectangle Tube,Carbon Steel,7 in,4 in,5/16 in,0.313,21.22,,0.000,$0.95,$0.00,,,,,
263,TR72493,Rectangle Tube,Carbon Steel,7 in,4 in,3/8 in,0.375,24.93,,0.000,$0.95,$0.00,,,,,
264,TR73184,Rectangle Tube,Carbon Steel,7 in,4 in,1/2 in,0.500,31.84,,0.000,$0.95,$0.00,,,,,
265,TR71453,Rectangle Tube,Carbon Steel,7 in,5 in,3/16 in,0.188,14.53,,0.000,$0.95,$0.00,,,,,
266,TR71902,Rectangle Tube,Carbon Steel,7 in,5 in,1/4 in,0.250,19.02,,0.000,$0.95,$0.00,,,,,
267,TR72334,Rectangle Tube,Carbon Steel,7 in,5 in,5/16 in,0.313,23.34,,0.000,$0.95,$0.00,,,,,
268,TR72748,Rectangle Tube,Carbon Steel,7 in,5 in,3/8 in,0.375,27.48,,0.000,$0.95,$0.00,,,,,
269,TR73524,Rectangle Tube,Carbon Steel,7 in,5 in,1/2 in,0.500,35.24,,0.000,$0.95,$0.00,,,,,
270,TR74230,Rectangle Tube,Carbon Steel,7 in,5 in,5/8 in,0.625,42.30,,0.000,$0.95,$0.00,,,,,
271,TR81197,Rectangle Tube,Carbon Steel,8 in,2 in,3/16 in,0.188,11.97,,0.000,$0.95,$0.00,,,,,
272,TR81562,Rectangle Tube,Carbon Steel,8 in,2 in,1/4 in,0.250,15.62,,0.000,$0.95,$0.00,,,,,
273,TR81908,Rectangle Tube,Carbon Steel,8 in,2 in,5/16 in,0.313,19.08,,0.000,$0.95,$0.00,,,,,
274,TR82237,Rectangle Tube,Carbon Steel,8 in,2 in,3/8 in,0.375,22.37,,0.000,$0.95,$0.00,,,,,
275,TR81330,Rectangle Tube,Carbon Steel,8 in,3 in,3/16 in,0.188,13.30,,0.000,$0.95,$0.00,,,,,
276,TR81732,Rectangle Tube,Carbon Steel,8 in,3 in,1/4 in,0.250,17.32,,0.000,$0.95,$0.00,,,,,
277,TR82122,Rectangle Tube,Carbon Steel,8 in,3 in,5/16 in,0.313,21.22,,0.000,$0.95,$0.00,,,,,
278,TR82493,Rectangle Tube,Carbon Steel,8 in,3 in,3/8 in,0.375,24.93,,0.000,$0.95,$0.00,,,,,
279,TR83181,Rectangle Tube,Carbon Steel,8 in,3 in,1/2 in,0.500,31.81,,0.000,$0.95,$0.00,,,,,
280,TR81453,Rectangle Tube,Carbon Steel,8 in,4 in,3/16 in,0.188,14.53,,0.000,$0.95,$0.00,,,,,
281,TR81902,Rectangle Tube,Carbon Steel,8 in,4 in,1/4 in,0.250,19.02,,0.000,$0.95,$0.00,,,,,
282,TR82334,Rectangle Tube,Carbon Steel,8 in,4 in,5/16 in,0.313,23.34,,0.000,$0.95,$0.00,,,,,
283,TR82748,Rectangle Tube,Carbon Steel,8 in,4 in,3/8 in,0.375,27.48,,0.000,$0.95,$0.00,,,,,
284,TR83524,Rectangle Tube,Carbon Steel,8 in,4 in,1/2 in,0.500,35.24,,0.000,$0.95,$0.00,,,,,
285,TR84226,Rectangle Tube,Carbon Steel,8 in,4 in,5/8 in,0.625,42.26,,0.000,$0.95,$0.00,,,,,
286,TR81711,Rectangle Tube,Carbon Steel,8 in,6 in,3/16 in,0.188,17.11,,0.000,$0.95,$0.00,,,,,
287,TR82242,Rectangle Tube,Carbon Steel,8 in,6 in,1/4 in,0.250,22.42,,0.000,$0.95,$0.00,,,,,
288,TR82759,Rectangle Tube,Carbon Steel,8 in,6 in,5/16 in,0.313,27.59,,0.000,$0.95,$0.00,,,,,
289,TR83258,Rectangle Tube,Carbon Steel,8 in,6 in,3/8 in,0.375,32.58,,0.000,$0.95,$0.00,,,,,
290,TR84205,Rectangle Tube,Carbon Steel,8 in,6 in,1/2 in,0.500,42.05,,0.000,$0.95,$0.00,,,,,
291,TR85081,Rectangle Tube,Carbon Steel,8 in,6 in,5/8 in,0.625,50.81,,0.000,$0.95,$0.00,,,,,
292,TR91902,Rectangle Tube,Carbon Steel,9 in,3 in,1/4 in,0.250,19.02,,0.000,$0.95,$0.00,,,,,
293,TR92334,Rectangle Tube,Carbon Steel,9 in,3 in,5/16 in,0.313,23.34,,0.000,$0.95,$0.00,,,,,
294,TR92748,Rectangle Tube,Carbon Steel,9 in,3 in,3/8 in,0.375,27.48,,0.000,$0.95,$0.00,,,,,
295,TR93524,Rectangle Tube,Carbon Steel,9 in,3 in,1/2 in,0.500,35.24,,0.000,$0.95,$0.00,,,,,
296,TR92759,Rectangle Tube,Carbon Steel,9 in,5 in,5/16 in,0.313,27.59,,0.000,$0.95,$0.00,,,,,
297,TR93258,Rectangle Tube,Carbon Steel,9 in,5 in,3/8 in,0.375,32.58,,0.000,$0.95,$0.00,,,,,
298,TR92242,Rectangle Tube,Carbon Steel,9 in,5 in,1/4 in,0.250,22.42,,0.000,$0.95,$0.00,,,,,
299,TR94205,Rectangle Tube,Carbon Steel,9 in,5 in,1/2 in,0.500,42.05,,0.000,$0.95,$0.00,,,,,
300,TR95081,Rectangle Tube,Carbon Steel,9 in,5 in,5/8 in,0.625,50.81,,0.000,$0.95,$0.00,,,,,
301,TR91963,Rectangle Tube,Carbon Steel,9 in,7 in,3/16 in,0.188,19.63,,0.000,$0.95,$0.00,,,,,
302,TR92582,Rectangle Tube,Carbon Steel,9 in,7 in,1/4 in,0.250,25.82,,0.000,$0.95,$0.00,,,,,
303,TR93186,Rectangle Tube,Carbon Steel,9 in,7 in,5/16 in,0.313,31.86,,0.000,$0.95,$0.00,,,,,
304,TR93769,Rectangle Tube,Carbon Steel,9 in,7 in,3/8 in,0.375,37.69,,0.000,$0.95,$0.00,,,,,
305,TR94885,Rectangle Tube,Carbon Steel,9 in,7 in,1/2 in,0.500,48.85,,0.000,$0.95,$0.00,,,,,
306,TR95932,Rectangle Tube,Carbon Steel,9 in,7 in,5/8 in,0.625,59.32,,0.000,$0.95,$0.00,,,,,
307,TR101455,Rectangle Tube,Carbon Steel,10 in,2 in,3/16 in,0.188,14.55,,0.000,$0.95,$0.00,,,,,
308,TR101902,Rectangle Tube,Carbon Steel,10 in,2 in,1/4 in,0.250,19.02,,0.000,$0.95,$0.00,,,,,
309,TR102334,Rectangle Tube,Carbon Steel,10 in,2 in,5/16 in,0.313,23.34,,0.000,$0.95,$0.00,,,,,
310,TR102748,Rectangle Tube,Carbon Steel,10 in,2 in,3/8 in,0.375,27.48,,0.000,$0.95,$0.00,,,,,
311,TR101580,Rectangle Tube,Carbon Steel,10 in,3 in,3/16 in,0.188,15.80,,0.000,$0.95,$0.00,,,,,
312,TR102072,Rectangle Tube,Carbon Steel,10 in,3 in,1/4 in,0.250,20.72,,0.000,$0.95,$0.00,,,,,
313,TR102546,Rectangle Tube,Carbon Steel,10 in,3 in,5/16 in,0.313,25.46,,0.000,$0.95,$0.00,,,,,
314,TR103003,Rectangle Tube,Carbon Steel,10 in,3 in,3/8 in,0.375,30.03,,0.000,$0.95,$0.00,,,,,
315,TR101708,Rectangle Tube,Carbon Steel,10 in,4 in,3/16 in,0.188,17.08,,0.000,$0.95,$0.00,,,,,
316,TR102242,Rectangle Tube,Carbon Steel,10 in,4 in,1/4 in,0.250,22.42,,0.000,$0.95,$0.00,,,,,
317,TR102759,Rectangle Tube,Carbon Steel,10 in,4 in,5/16 in,0.313,27.59,,0.000,$0.95,$0.00,,,,,
318,TR103258,Rectangle Tube,Carbon Steel,10 in,4 in,3/8 in,0.375,32.58,,0.000,$0.95,$0.00,,,,,
319,TR104205,Rectangle Tube,Carbon Steel,10 in,4 in,1/2 in,0.500,42.05,,0.000,$0.95,$0.00,,,,,
320,TR105076,Rectangle Tube,Carbon Steel,10 in,4 in,5/8 in,0.625,50.76,,0.000,$0.95,$0.00,,,,,
321,TR101835,Rectangle Tube,Carbon Steel,10 in,5 in,3/16 in,0.188,18.35,,0.000,$0.95,$0.00,,,,,
322,TR102412,Rectangle Tube,Carbon Steel,10 in,5 in,1/4 in,0.250,24.12,,0.000,$0.95,$0.00,,,,,
323,TR102972,Rectangle Tube,Carbon Steel,10 in,5 in,5/16 in,0.313,29.72,,0.000,$0.95,$0.00,,,,,
324,TR103513,Rectangle Tube,Carbon Steel,10 in,5 in,3/8 in,0.375,35.13,,0.000,$0.95,$0.00,,,,,
325,TR104545,Rectangle Tube,Carbon Steel,10 in,5 in,1/2 in,0.500,45.45,,0.000,$0.95,$0.00,,,,,
326,TR101966,Rectangle Tube,Carbon Steel,10 in,6 in,3/16 in,0.188,19.66,,0.000,$0.95,$0.00,,,,,
327,TR102582,Rectangle Tube,Carbon Steel,10 in,6 in,1/4 in,0.250,25.82,,0.000,$0.95,$0.00,,,,,
328,TR103184,Rectangle Tube,Carbon Steel,10 in,6 in,5/16 in,0.313,31.84,,0.000,$0.95,$0.00,,,,,
329,TR103769,Rectangle Tube,Carbon Steel,10 in,6 in,3/8 in,0.375,37.69,,0.000,$0.95,$0.00,,,,,
330,TR104885,Rectangle Tube,Carbon Steel,10 in,6 in,1/2 in,0.500,48.85,,0.000,$0.95,$0.00,,,,,
331,TR105932,Rectangle Tube,Carbon Steel,10 in,6 in,5/8 in,0.625,59.32,,0.000,$0.95,$0.00,,,,,
332,TR102222,Rectangle Tube,Carbon Steel,10 in,8 in,3/16 in,0.188,22.22,,0.000,$0.95,$0.00,,,,,
333,TR102923,Rectangle Tube,Carbon Steel,10 in,8 in,1/4 in,0.250,29.23,,0.000,$0.95,$0.00,,,,,
334,TR103610,Rectangle Tube,Carbon Steel,10 in,8 in,5/16 in,0.313,36.10,,0.000,$0.95,$0.00,,,,,
335,TR104279,Rectangle Tube,Carbon Steel,10 in,8 in,3/8 in,0.375,42.79,,0.000,$0.95,$0.00,,,,,
336,TR105566,Rectangle Tube,Carbon Steel,10 in,8 in,1/2 in,0.500,55.66,,0.000,$0.95,$0.00,,,,,
337,TR121711,Rectangle Tube,Carbon Steel,12 in,2 in,3/16 in,0.188,17.11,,0.000,$0.95,$0.00,,,,,
338,TR122242,Rectangle Tube,Carbon Steel,12 in,2 in,1/4 in,0.250,22.42,,0.000,$0.95,$0.00,,,,,
339,TR122759,Rectangle Tube,Carbon Steel,12 in,2 in,5/16 in,0.313,27.59,,0.000,$0.95,$0.00,,,,,
340,TR123258,Rectangle Tube,Carbon Steel,12 in,2 in,3/8 in,0.375,32.58,,0.000,$0.95,$0.00,,,,,
341,TR121840,Rectangle Tube,Carbon Steel,12 in,3 in,3/16 in,0.188,18.40,,0.000,$0.95,$0.00,,,,,
342,TR122410,Rectangle Tube,Carbon Steel,12 in,3 in,1/4 in,0.250,24.10,,0.000,$0.95,$0.00,,,,,
343,TR122970,Rectangle Tube,Carbon Steel,12 in,3 in,5/16 in,0.313,29.70,,0.000,$0.95,$0.00,,,,,
344,TR123513,Rectangle Tube,Carbon Steel,12 in,3 in,3/8 in,0.375,35.13,,0.000,$0.95,$0.00,,,,,
345,TR121966,Rectangle Tube,Carbon Steel,12 in,4 in,3/16 in,0.188,19.66,,0.000,$0.95,$0.00,,,,,
346,TR122582,Rectangle Tube,Carbon Steel,12 in,4 in,1/4 in,0.250,25.82,,0.000,$0.95,$0.00,,,,,
347,TR123184,Rectangle Tube,Carbon Steel,12 in,4 in,5/16 in,0.313,31.84,,0.000,$0.95,$0.00,,,,,
348,TR123769,Rectangle Tube,Carbon Steel,12 in,4 in,3/8 in,0.375,37.69,,0.000,$0.95,$0.00,,,,,
349,TR124885,Rectangle Tube,Carbon Steel,12 in,4 in,1/2 in,0.500,48.85,,0.000,$0.95,$0.00,,,,,
350,TR125932,Rectangle Tube,Carbon Steel,12 in,4 in,5/8 in,0.625,59.32,,0.000,$0.95,$0.00,,,,,
351,TR122222,Rectangle Tube,Carbon Steel,12 in,6 in,3/16 in,0.188,22.22,,0.000,$0.95,$0.00,,,,,
352,TR122923,Rectangle Tube,Carbon Steel,12 in,6 in,1/4 in,0.250,29.23,,0.000,$0.95,$0.00,,,,,
353,TR123610,Rectangle Tube,Carbon Steel,12 in,6 in,5/16 in,0.313,36.10,,0.000,$0.95,$0.00,,,,,
354,TR124279,Rectangle Tube,Carbon Steel,12 in,6 in,3/8 in,0.375,42.79,,0.000,$0.95,$0.00,,,,,
355,TR125566,Rectangle Tube,Carbon Steel,12 in,6 in,1/2 in,0.500,55.66,,0.000,$0.95,$0.00,,,,,
356,TR126782,Rectangle Tube,Carbon Steel,12 in,6 in,5/8 in,0.625,67.82,,0.000,$0.95,$0.00,,,,,
357,TR122477,Rectangle Tube,Carbon Steel,12 in,8 in,3/16 in,0.188,24.77,,0.000,$0.95,$0.00,,,,,
358,TR123263,Rectangle Tube,Carbon Steel,12 in,8 in,1/4 in,0.250,32.63,,0.000,$0.95,$0.00,,,,,
359,TR124035,Rectangle Tube,Carbon Steel,12 in,8 in,5/16 in,0.313,40.35,,0.000,$0.95,$0.00,,,,,
360,TR124790,Rectangle Tube,Carbon Steel,12 in,8 in,3/8 in,0.375,47.90,,0.000,$0.95,$0.00,,,,,
361,TR126246,Rectangle Tube,Carbon Steel,12 in,8 in,1/2 in,0.500,62.46,,0.000,$0.95,$0.00,,,,,
362,TR127633,Rectangle Tube,Carbon Steel,12 in,8 in,5/8 in,0.625,76.33,,0.000,$0.95,$0.00,,,,,
363,TR123603,Rectangle Tube,Carbon Steel,12 in,10 in,1/4 in,0.250,36.03,,0.000,$0.95,$0.00,,,,,
364,TR124470,Rectangle Tube,Carbon Steel,12 in,10 in,5/16 in,0.313,44.70,,0.000,$0.95,$0.00,,,,,
365,TR125300,Rectangle Tube,Carbon Steel,12 in,10 in,3/8 in,0.375,53.00,,0.000,$0.95,$0.00,,,,,
366,TR126927,Rectangle Tube,Carbon Steel,12 in,10 in,1/2 in,0.500,69.27,,0.000,$0.95,$0.00,,,,,
367,TR142222,Rectangle Tube,Carbon Steel,14 in,4 in,3/16 in,0.188,22.22,,0.000,$0.95,$0.00,,,,,
368,TR142923,Rectangle Tube,Carbon Steel,14 in,4 in,1/4 in,0.250,29.23,,0.000,$0.95,$0.00,,,,,
369,TR143610,Rectangle Tube,Carbon Steel,14 in,4 in,5/16 in,0.313,36.10,,0.000,$0.95,$0.00,,,,,
370,TR144279,Rectangle Tube,Carbon Steel,14 in,4 in,3/8 in,0.375,42.79,,0.000,$0.95,$0.00,,,,,
371,TR145566,Rectangle Tube,Carbon Steel,14 in,4 in,1/2 in,0.500,55.66,,0.000,$0.95,$0.00,,,,,
372,TR146782,Rectangle Tube,Carbon Steel,14 in,4 in,5/8 in,0.625,67.82,,0.000,$0.95,$0.00,,,,,
373,TR142477,Rectangle Tube,Carbon Steel,14 in,6 in,3/16 in,0.188,24.77,,0.000,$0.95,$0.00,,,,,
374,TR143263,Rectangle Tube,Carbon Steel,14 in,6 in,1/4 in,0.250,32.63,,0.000,$0.95,$0.00,,,,,
375,TR144035,Rectangle Tube,Carbon Steel,14 in,6 in,5/16 in,0.313,40.35,,0.000,$0.95,$0.00,,,,,
376,TR144790,Rectangle Tube,Carbon Steel,14 in,6 in,3/8 in,0.375,47.90,,0.000,$0.95,$0.00,,,,,
377,TR146246,Rectangle Tube,Carbon Steel,14 in,6 in,1/2 in,0.500,62.46,,0.000,$0.95,$0.00,,,,,
378,TR147633,Rectangle Tube,Carbon Steel,14 in,6 in,5/8 in,0.625,76.33,,0.000,$0.95,$0.00,,,,,
379,TR143943,Rectangle Tube,Carbon Steel,14 in,10 in,1/4 in,,,,,,,,,,,
380,TR144886,Rectangle Tube,Carbon Steel,14 in,10 in,5/16 in,,,,,,,,,,,
381,TR145810,Rectangle Tube,Carbon Steel,14 in,10 in,3/8 in,,,,,,,,,,,
382,TR147607,Rectangle Tube,Carbon Steel,14 in,10 in,1/2 in,,,,,,,,,,,
383,TR149334,Rectangle Tube,Carbon Steel,14 in,10 in,5/8 in,,,,,,,,,,,
384,TR1410991,Rectangle Tube,Carbon Steel,14 in,10 in,3/4 in,,,,,,,,,,,
385,TR1412579,Rectangle Tube,Carbon Steel,14 in,10 in,7/8 in,,,,,,,,,,,
386,TR163263,Rectangle Tube,Carbon Steel,16 in,4 in,1/4 in,,,,,,,,,,,
387,TR164035,Rectangle Tube,Carbon Steel,16 in,4 in,5/16 in,,,,,,,,,,,
388,TR164790,Rectangle Tube,Carbon Steel,16 in,4 in,3/8 in,,,,,,,,,,,
389,TR166246,Rectangle Tube,Carbon Steel,16 in,4 in,1/2 in,,,,,,,,,,,
390,TR167633,Rectangle Tube,Carbon Steel,16 in,4 in,5/8 in,,,,,,,,,,,
391,TR163943,Rectangle Tube,Carbon Steel,16 in,8 in,1/4 in,,,,,,,,,,,
392,TR164886,Rectangle Tube,Carbon Steel,16 in,8 in,5/16 in,,,,,,,,,,,
393,TR165810,Rectangle Tube,Carbon Steel,16 in,8 in,3/8 in,,,,,,,,,,,
394,TR167607,Rectangle Tube,Carbon Steel,16 in,8 in,1/2 in,,,,,,,,,,,
395,TR169334,Rectangle Tube,Carbon Steel,16 in,8 in,5/8 in,,,,,,,,,,,
396,TR1610991,Rectangle Tube,Carbon Steel,16 in,8 in,3/4 in,,,,,,,,,,,
397,TR1612579,Rectangle Tube,Carbon Steel,16 in,8 in,7/8 in,,,,,,,,,,,
398,TR165736,Rectangle Tube,Carbon Steel,16 in,12 in,5/16 in,,,,,,,,,,,
399,TR166831,Rectangle Tube,Carbon Steel,16 in,12 in,3/8 in,,,,,,,,,,,
400,TR168968,Rectangle Tube,Carbon Steel,16 in,12 in,1/2 in,,,,,,,,,,,
401,TR1611036,Rectangle Tube,Carbon Steel,16 in,12 in,5/8 in,,,,,,,,,,,
402,TR1613033,Rectangle Tube,Carbon Steel,16 in,12 in,3/4 in,,,,,,,,,,,
403,TR1614961,Rectangle Tube,Carbon Steel,16 in,12 in,7/8 in,,,,,,,,,,,
404,TR1616818,Rectangle Tube,Carbon Steel,16 in,12 in,1 in,,,,,,,,,,,
405,TR183943,Rectangle Tube,Carbon Steel,18 in,6 in,1/4 in,,,,,,,,,,,
406,TR184886,Rectangle Tube,Carbon Steel,18 in,6 in,5/16 in,,,,,,,,,,,
407,TR185810,Rectangle Tube,Carbon Steel,18 in,6 in,3/8 in,,,,,,,,,,,
408,TR187607,Rectangle Tube,Carbon Steel,18 in,6 in,1/2 in,,,,,,,,,,,
409,TR189334,Rectangle Tube,Carbon Steel,18 in,6 in,5/8 in,,,,,,,,,,,
410,TR1810991,Rectangle Tube,Carbon Steel,18 in,6 in,3/4 in,,,,,,,,,,,
411,TR203943,Rectangle Tube,Carbon Steel,20 in,4 in,1/4 in,,,,,,,,,,,
412,TR204886,Rectangle Tube,Carbon Steel,20 in,4 in,5/16 in,,,,,,,,,,,
413,TR205810,Rectangle Tube,Carbon Steel,20 in,4 in,3/8 in,,,,,,,,,,,
414,TR207607,Rectangle Tube,Carbon Steel,20 in,4 in,1/2 in,,,,,,,,,,,
415,TR205736,Rectangle Tube,Carbon Steel,20 in,8 in,5/16 in,,,,,,,,,,,
416,TR206831,Rectangle Tube,Carbon Steel,20 in,8 in,3/8 in,,,,,,,,,,,
417,TR208968,Rectangle Tube,Carbon Steel,20 in,8 in,1/2 in,,,,,,,,,,,
418,TR2011036,Rectangle Tube,Carbon Steel,20 in,8 in,5/8 in,,,,,,,,,,,
419,TR2013033,Rectangle Tube,Carbon Steel,20 in,8 in,3/4 in,,,,,,,,,,,
420,TR2014961,Rectangle Tube,Carbon Steel,20 in,8 in,7/8 in,,,,,,,,,,,
421,TR2016818,Rectangle Tube,Carbon Steel,20 in,8 in,1 in,,,,,,,,,,,
422,TR206587,Rectangle Tube,Carbon Steel,20 in,12 in,5/16 in,,,,,,,,,,,
423,TR207852,Rectangle Tube,Carbon Steel,20 in,12 in,3/8 in,,,,,,,,,,,
424,TR2010330,Rectangle Tube,Carbon Steel,20 in,12 in,1/2 in,,,,,,,,,,,
425,TR2012738,Rectangle Tube,Carbon Steel,20 in,12 in,5/8 in,,,,,,,,,,,
426,TR2015075,Rectangle Tube,Carbon Steel,20 in,12 in,3/4 in,,,,,,,,,,,
427,TR2017343,Rectangle Tube,Carbon Steel,20 in,12 in,7/8 in,,,,,,,,,,,
428,TR2019540,Rectangle Tube,Carbon Steel,20 in,12 in,1 in,,,,,,,,,,,
429,TR248873,Rectangle Tube,Carbon Steel,24 in,12 in,3/8 in,,,,,,,,,,,
430,TR2411691,Rectangle Tube,Carbon Steel,24 in,12 in,1/2 in,,,,,,,,,,,
431,TR2414439,Rectangle Tube,Carbon Steel,24 in,12 in,5/8 in,,,,,,,,,,,
432,TR2417116,Rectangle Tube,Carbon Steel,24 in,12 in,3/4 in,,,,,,,,,,,
433,TR2419724,Rectangle Tube,Carbon Steel,24 in,12 in,7/8 in,,,,,,,,,,,
434,TR2422263,Rectangle Tube,Carbon Steel,24 in,12 in,1 in,,,,,,,,,,,
435,TR3013052,Rectangle Tube,Carbon Steel,30 in,10 in,1/2 in,,,,,,,,,,,
436,TR3016140,Rectangle Tube,Carbon Steel,30 in,10 in,5/8 in,,,,,,,,,,,
437,TR3019154,Rectangle Tube,Carbon Steel,30 in,10 in,3/4 in,,,,,,,,,,,
438,TR3022106,Rectangle Tube,Carbon Steel,30 in,10 in,7/8 in,,,,,,,,,,,
439,TR3024985,Rectangle Tube,Carbon Steel,30 in,10 in,1 in,,,,,,,,,,,
440,TR3417841,Rectangle Tube,Carbon Steel,34 in,10 in,5/8 in,,,,,,,,,,,
441,TR3421200,Rectangle Tube,Carbon Steel,34 in,10 in,3/4 in,,,,,,,,,,,
442,TR3424488,Rectangle Tube,Carbon Steel,34 in,10 in,7/8 in,,,,,,,,,,,
443,TR3427707,Rectangle Tube,Carbon Steel,34 in,10 in,1 in,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Grand Total $,Tab Link to Grand Totals,,,,
,,,,,,,,Totals,0,0.000,,$0.00,,,,,
