#,Item #,Type,Materials,Width,Height,Average Wall Thickness,,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,,,,
,Item #,Type,Materials,Width,Height,Gauge,Decimal,Weight Per Foot,ft.,lb.,$,$,,,,,
50,TS4646,Square Tube,Carbon Steel,4 in,4 in,1/8 in,0.125,6.46,,0.000,$0.95,$0.00,,,,,
51,TS4942,Square Tube,Carbon Steel,4 in,4 in,3/16 in,0.188,9.42,,0.000,$0.95,$0.00,,,,,
52,TS41221,Square Tube,Carbon Steel,4 in,4 in,1/4 in,0.250,12.21,,0.000,$0.95,$0.00,,,,,
53,TS41483,Square Tube,Carbon Steel,4 in,4 in,5/16 in,0.313,14.83,,0.000,$0.95,$0.00,,,,,
54,TS41727,Square Tube,Carbon Steel,4 in,4 in,3/8 in,0.375,17.27,,0.000,$1.25,$0.00,,,,,
55,TS42163,Square Tube,Carbon Steel,4 in,4 in,1/2 in,0.500,21.63,,0.000,$2.00,$0.00,,,,,
56,TS4121070,Square Tube,Carbon Steel,4 1/2 in,4 1/2 in,3/16 in,0.188,10.70,,0.000,$0.95,$0.00,,,,,
57,TS4121391,Square Tube,Carbon Steel,4 1/2 in,4 1/2 in,1/4 in,0.250,13.91,,0.000,$0.95,$0.00,,,,,
58,TS4121696,Square Tube,Carbon Steel,4 1/2 in,4 1/2 in,5/16 in,0.313,16.96,,0.000,$0.95,$0.00,,,,,
59,TS4121982,Square Tube,Carbon Steel,4 1/2 in,4 1/2 in,3/8 in,0.375,19.82,,0.000,$1.25,$0.00,,,,,
60,TS4122503,Square Tube,Carbon Steel,4 1/2 in,4 1/2 in,1/2 in,0.500,25.03,,0.000,$2.00,$0.00,,,,,
61,TS51197,Square Tube,Carbon Steel,5 in,5 in,3/16 in,0.188,11.97,,0.000,$0.95,$0.00,,,,,
62,TS51562,Square Tube,Carbon Steel,5 in,5 in,1/4 in,0.250,15.62,,0.000,$0.95,$0.00,,,,,
63,TS51908,Square Tube,Carbon Steel,5 in,5 in,5/16 in,0.313,19.08,,0.000,$0.95,$0.00,,,,,
64,TS52237,Square Tube,Carbon Steel,5 in,5 in,3/8 in,0.375,22.37,,0.000,$1.25,$0.00,,,,,
65,TS52843,Square Tube,Carbon Steel,5 in,5 in,1/2 in,0.500,28.43,,0.000,$2.00,$0.00,,,,,
66,TS53376,Square Tube,Carbon Steel,5 in,5 in,5/8 in,0.625,33.76,,0.000,$2.00,$0.00,,,,,
67,TS5121330,Square Tube,Carbon Steel,5 1/2 in,5 1/2 in,3/16 in,0.188,13.30,,0.000,$0.95,$0.00,,,,,
68,TS5121732,Square Tube,Carbon Steel,5 1/2 in,5 1/2 in,1/4 in,0.250,17.32,,0.000,$0.95,$0.00,,,,,
69,TS5122122,Square Tube,Carbon Steel,5 1/2 in,5 1/2 in,5/16 in,0.313,21.22,,0.000,$0.95,$0.00,,,,,
70,TS5122493,Square Tube,Carbon Steel,5 1/2 in,5 1/2 in,3/8 in,0.375,24.93,,0.000,$1.25,$0.00,,,,,
71,TS5123184,Square Tube,Carbon Steel,5 1/2 in,5 1/2 in,1/2 in,0.500,31.84,,0.000,$2.00,$0.00,,,,,
72,TS61453,Square Tube,Carbon Steel,6 in,6 in,3/16 in,0.188,14.53,,0.000,$0.95,$0.00,,,,,
73,TS61902,Square Tube,Carbon Steel,6 in,6 in,1/4 in,0.250,19.02,,0.000,$0.95,$0.00,,,,,
74,TS62334,Square Tube,Carbon Steel,6 in,6 in,5/16 in,0.313,23.34,,0.000,$0.95,$0.00,,,,,
75,TS62748,Square Tube,Carbon Steel,6 in,6 in,3/8 in,0.375,27.48,,0.000,$1.25,$0.00,,,,,
76,TS63524,Square Tube,Carbon Steel,6 in,6 in,1/2 in,0.500,35.24,,0.000,$2.00,$0.00,,,,,
77,TS64230,Square Tube,Carbon Steel,6 in,6 in,5/8 in,0.625,42.30,,0.000,$2.00,$0.00,,,,,
78,TS71708,Square Tube,Carbon Steel,7 in,7 in,3/16 in,0.188,17.08,,0.000,$0.95,$0.00,,,,,
79,TS72242,Square Tube,Carbon Steel,7 in,7 in,1/4 in,0.250,22.42,,0.000,$0.95,$0.00,,,,,
80,TS72759,Square Tube,Carbon Steel,7 in,7 in,5/16 in,0.313,27.59,,0.000,$0.95,$0.00,,,,,
81,TS73258,Square Tube,Carbon Steel,7 in,7 in,3/8 in,0.375,32.58,,0.000,$1.25,$0.00,,,,,
82,TS74205,Square Tube,Carbon Steel,7 in,7 in,1/2 in,0.500,42.05,,0.000,$2.00,$0.00,,,,,
83,TS75081,Square Tube,Carbon Steel,7 in,7 in,5/8 in,0.625,50.81,,0.000,$2.00,$0.00,,,,,
84,TS81963,Square Tube,Carbon Steel,8 in,8 in,3/16 in,0.188,19.63,,0.000,$0.95,$0.00,,,,,
85,TS82582,Square Tube,Carbon Steel,8 in,8 in,1/4 in,0.250,25.82,,0.000,$0.95,$0.00,,,,,
86,TS83184,Square Tube,Carbon Steel,8 in,8 in,5/16 in,0.313,31.84,,0.000,$0.95,$0.00,,,,,
87,TS83769,Square Tube,Carbon Steel,8 in,8 in,3/8 in,0.375,37.69,,0.000,$1.25,$0.00,,,,,
88,TS84885,Square Tube,Carbon Steel,8 in,8 in,1/2 in,0.500,48.85,,0.000,$2.00,$0.00,,,,,
89,TS85932,Square Tube,Carbon Steel,8 in,8 in,5/8 in,0.625,59.32,,0.000,$2.00,$0.00,,,,,
90,TS92923,Square Tube,Carbon Steel,9 in,9 in,1/4 in,0.250,29.23,,0.000,$0.95,$0.00,,,,,
91,TS93612,Square Tube,Carbon Steel,9 in,9 in,5/16 in,0.313,36.12,,0.000,$0.95,$0.00,,,,,
92,TS94279,Square Tube,Carbon Steel,9 in,9 in,3/8 in,0.375,42.79,,0.000,$1.25,$0.00,,,,,
93,TS95566,Square Tube,Carbon Steel,9 in,9 in,1/2 in,0.500,55.66,,0.000,$2.00,$0.00,,,,,
94,TS96782,Square Tube,Carbon Steel,9 in,9 in,5/8 in,0.625,67.82,,0.000,$2.00,$0.00,,,,,
95,TS102473,Square Tube,Carbon Steel,10 in,10 in,3/16 in,0.188,24.73,,0.000,$0.95,$0.00,,,,,
96,TS103263,Square Tube,Carbon Steel,10 in,10 in,1/4 in,0.250,32.63,,0.000,$0.95,$0.00,,,,,
97,TS104035,Square Tube,Carbon Steel,10 in,10 in,5/16 in,0.313,40.35,,0.000,$0.95,$0.00,,,,,
98,TS104790,Square Tube,Carbon Steel,10 in,10 in,3/8 in,0.375,47.90,,0.000,$1.25,$0.00,,,,,
99,TS106246,Square Tube,Carbon Steel,10 in,10 in,1/2 in,0.500,62.46,,0.000,$2.00,$0.00,,,,,
100,TS107633,Square Tube,Carbon Steel,10 in,10 in,5/8 in,0.625,76.33,,0.000,$2.00,$0.00,,,,,
101,TS108950,Square Tube,Carbon Steel,10 in,10 in,3/4 in,0.750,89.50,,0.000,$2.00,$0.00,,,,,
102,TS122984,Square Tube,Carbon Steel,12 in,12 in,3/16 in,0.188,29.84,,0.000,$2.00,$0.00,,,,,
103,TS123943,Square Tube,Carbon Steel,12 in,12 in,1/4 in,0.250,39.43,,0.000,$2.00,$0.00,,,,,
104,TS124886,Square Tube,Carbon Steel,12 in,12 in,5/16 in,0.313,48.86,,0.000,$2.00,$0.00,,,,,
105,TS125810,Square Tube,Carbon Steel,12 in,12 in,3/8 in,0.375,58.10,,0.000,$2.00,$0.00,,,,,
106,TS127607,Square Tube,Carbon Steel,12 in,12 in,1/2 in,0.500,76.07,,0.000,$2.00,$0.00,,,,,
