#,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Ft. in Lbs.,Length,Total Pounds,Current Cost per Lbs.,Total Price,NOTES:,
,Item #,Pipe Size,Schedule,Outer Diameter,Wall Thickness,Weight Per Foot,ft.,lb.,$,$,,
65,TP540STD,5 in,40 STD,5.563 in,0.258 in,14.620,,0.000,$1.50,$0.00,,1.5
66,TP580,5 in,80 Ex Hvy,5.563 in,0.375 in,20.780,,0.000,,$0.00,,
67,TP5120,5 in,120,5.563 in,0.500 in,27.040,,0.000,,$0.00,,
68,TP5160,5 in,160,5.563 in,0.625 in,32.960,,0.000,,$0.00,,
69,TP5XX,5 in,XX Hvy,5.563 in,0.750 in,38.550,,0.000,,$0.00,,
70,TP65,6 in,5,6.625 in,0.109 in,7.585,,0.000,,$0.00,,
71,TP610,6 in,10,6.625 in,0.134 in,9.289,,0.000,,$0.00,,
72,TP640STD,6 in,40 STD,6.625 in,0.280 in,18.970,,0.000,$1.50,$0.00,,1.5
73,TP680,6 in,80 Ex Hvy,6.625 in,0.432 in,28.570,,0.000,,$0.00,,
74,TP6120,6 in,120,6.625 in,0.562 in,36.390,,0.000,,$0.00,,
75,TP6160,6 in,160,6.625 in,0.719 in,45.350,,0.000,,$0.00,,
76,TP6XX,6 in,XX Hvy,6.625 in,0.864 in,53.160,,0.000,,$0.00,,
77,TP7STD,7 in,Std,7.625 in,0.301 in,23.570,,0.000,,$0.00,,
78,TP7Ex,7 in,Ex Hvy,7.625 in,0.500 in,38.050,,0.000,,$0.00,,
79,TP7XX,7 in,XX Hvy,7.625 in,0.875 in,63.080,,0.000,,$0.00,,
80,TP85,8 in,5,8.625 in,0.109 in,9.914,,0.000,,$0.00,,
81,TP810,8 in,10,8.625 in,0.148 in,13.400,,0.000,,$0.00,,
82,TP820,8 in,20,8.625 in,0.250 in,22.360,,0.000,,$0.00,,
83,TP840STD,8 in,40 STD,8.625 in,0.322 in,28.550,,0.000,$1.50,$0.00,,1.5
84,TP860,8 in,60,8.625 in,0.406 in,35.640,,0.000,,$0.00,,
85,TP880,8 in,80 Ex Hvy,8.625 in,0.500 in,43.390,,0.000,,$0.00,,
86,TP8160,8 in,160,8.625 in,0.906 in,74.690,,0.000,,$0.00,,
87,TP8XX,8 in,XX Hvy,8.625 in,0.342 in,33.900,,0.000,,$0.00,,
88,TP9STD,9 in,Std,9.9625 in,0.500 in,48.720,,0.000,,$0.00,,
89,TP9Ex,9 in,Ex Hvy,9.9625 in,0.134 in,15.190,,0.000,,$0.00,,
90,TP105,10 in,5,10.750 in,0.165 in,18.700,,0.000,,$0.00,,
91,TP1010,10 in,10,10.750 in,0.307 in,34.240,,0.000,,$0.00,,
92,TP1030,10 in,30,10.750 in,0.365 in,40.480,,0.000,,$0.00,,
93,TP1040STD,10 in,40 STD,10.750 in,0.500 in,54.740,,0.000,$2.00,$0.00,,2
94,TP10Ex,10 in,Ex Hvy,10.750 in,1.000 in,104.130,,0.000,,$0.00,,
95,TP10140,10 in,140,10.750 in,1.125 in,115.640,,0.000,,$0.00,,
96,TP10160,10 in,160,10.750 in,0.375 in,45.550,,0.000,,$0.00,,
97,TP11STD,11 in,Std,11.750 in,0.500 in,60.070,,0.000,,$0.00,,
98,TP11Ex,11 in,Ex Hvy,11.750 in,0.156 in,21.070,,0.000,,$0.00,,
99,TP125,12 in,5,12.750 in,0.375 in,49.560,,0.000,,$0.00,,
100,TP1220,12 in,20,12.750 in,0.406 in,53.530,,0.000,,$0.00,,
101,TP1230,12 in,30,12.750 in,0.625 in,81.010,,0.000,,$0.00,,
102,TP12STD,12 in,Std,12.750 in,0.690 in,88.960,,0.000,,$0.00,,
103,TP1240,12 in,40,12.750 in,0.500 in,65.420,,0.000,,$0.00,,
104,TP12-NSW,12 in,Non-scheduled wall,12.750 in,1.312 in,160.270,,0.000,,$0.00,,
105,TP12-NSW,12 in,Non-scheduled wall,12.750 in,0.750 in,96.210,,0.000,,$0.00,,
106,TP12-NSW,12 in,Non-scheduled wall,12.750 in,0.905 in,114.590,,0.000,,$0.00,,
107,TP1280,12 in,80,12.750 in,0.875 in,72.420,,0.000,,$0.00,,
108,TP12Ex,12 in,Ex Hvy,12.750 in,0.250 in,33.410,,0.000,,$0.00,,
109,TP12160,12 in,160,12.750 in,0.312 in,41.480,,0.000,,$0.00,,
110,TP1410,14 in,10,14.000 in,0.250 in,42.050,,0.000,,$0.00,,
111,TP1420,14 in,20,14.000 in,0.312 in,52.360,,0.000,,$0.00,,
112,TP1430STD,14 in,30 STD,14.000 in,0.375 in,62.580,,0.000,,$0.00,,
113,TP1440,14 in,40 Ex Hvy,14.000 in,0.500 in,82.770,,0.000,,$0.00,,
114,TP1460,14 in,60,14.000 in,0.656 in,107.500,,0.000,,$0.00,,
115,TP14-NSW,14 in,Non-scheduled wall,14.000 in,0.750 in,122.270,,0.000,,$0.00,,
